Threshold,Precision,Recall_Attack,Recall_Benign,FPR,Score
0.0,0.9021985308681312,0.37647963547244123,0.9899996477819065,0.010000352218093443,0.5332396416271739
0.0008032128514056225,0.8996295930674244,0.3766054089795097,0.9897042248560308,0.010295775143969146,0.5331548169177702
0.001606425702811245,0.8971205566324763,0.37668985690568424,0.9894149657467904,0.010585034253209587,0.5330524113262373
0.0024096385542168677,0.894568240372639,0.37681563041275273,0.9891177817304475,0.010882218269552506,0.5329667060716001
0.00321285140562249,0.892223157858923,0.3769467942129813,0.9888426113449448,0.01115738865505521,0.532894702778963
0.004016064257028113,0.8898118231697493,0.3770599903693429,0.988558635507106,0.011441364492894,0.5328093129382245
0.004819277108433735,0.8874252813311125,0.3771839671120247,0.9882755402145008,0.011724459785499181,0.5327297536632628
0.005622489959839358,0.8850200210748156,0.3772684150381992,0.9879898032861948,0.012010196713805188,0.532629109162197
0.00642570281124498,0.8824789735920079,0.37742832706861484,0.9876838138175158,0.012316186182484194,0.5325560704430654
0.007228915662650603,0.8794641175559675,0.3775594908688434,0.9873201486360355,0.012679851363964567,0.5324398197524394
0.008032128514056226,0.876925322711822,0.37778049288840654,0.9870079953507211,0.012992004649278834,0.5323942441195639
0.008835341365461848,0.8745632584554409,0.37823687104262643,0.986706848880827,0.013293151119172992,0.5324718599617267
0.00963855421686747,0.8720796423544995,0.37853693069520405,0.9863942553228959,0.013605744677104063,0.5324655930090499
0.010441767068273093,0.8695049619296669,0.3787723068298608,0.9860706549495447,0.013929345050455242,0.5324214808897026
0.011244979919678716,0.8669823291952248,0.37932930378973545,0.985739129669091,0.0142608703309089,0.5325342167294133
0.012048192771084338,0.8642418242364241,0.3795790540394857,0.9853895532113485,0.014610446788651534,0.5324843036254171
0.01285140562248996,0.8614485809968466,0.37991864250857055,0.9850272088477185,0.014972791152281492,0.5324729256781445
0.013654618473895583,0.8586833443589005,0.3801540186432273,0.9846697074828734,0.015330292517126604,0.5324118630630503
0.014457831325301205,0.8559438184530668,0.38039298830665735,0.9843126463906451,0.01568735360935491,0.5323528173486511
0.015261044176706828,0.8532095309069669,0.38056368092339316,0.9839564658436504,0.016043534156349612,0.5322600733835217
0.016064257028112452,0.8504144898925456,0.38080983764437004,0.9835866368455347,0.016413363154465246,0.5321982372449523
0.016867469879518072,0.8476934205635863,0.38110989729694766,0.9832212105735871,0.016778789426412834,0.5321655539352674
0.017670682730923697,0.8451190381399794,0.381411753713912,0.9828720743884614,0.017127925611538666,0.5321419140511866
0.018473895582329317,0.8424776234231305,0.38170462630894286,0.9825119313879154,0.017488068612084604,0.532108278848429
0.01927710843373494,0.8396968572037881,0.3820334341917076,0.9821288942112957,0.017871105788704367,0.5320811642015016
0.020080321285140562,0.8373499665499193,0.3823137294360316,0.9818030924748604,0.018196907525139566,0.532058410955446
